"_id"	"store_address"	"loc_point"
"5944900cc87a263a090ab508"	"{ ""detail"" : ""化龙镇复苏村"" }"	"{ ""lat"" : 23.0442892169866, ""lng"" : 113.494794457882 }"
"59481450c87a262699020df5"	"{ ""detail"" : ""大学城南亭村"" }"	"{ ""lat"" : 23.064408982303, ""lng"" : 113.400850668392 }"
"5957fe41c87a2618106636f5"	"{ ""detail"" : ""长华商业街"" }"	"{ ""lat"" : 22.9777023256289, ""lng"" : 113.337128639436 }"
"59608ee1c87a2605873b3da4"	"{ ""detail"" : ""广州市番禺区大学城北青蓝街有米科技大厦一楼"" }"	"{ ""lat"" : 23.0629977940169, ""lng"" : 113.392909096127 }"
"596746ecc87a26121e7fff16"	"{ ""detail"" : ""大石街道市路3号"" }"	"{ ""lat"" : 23.1320451851166, ""lng"" : 113.326210793271 }"
"5976eb15c87a261216692bc5"	"{ ""detail"" : ""汇智三路102号"" }"	"{ ""lng"" : 113.35495034082, ""lat"" : 23.0132022034755 }"
"5976efdd7f686f221f74e60e"	"{ ""detail"" : ""榄塘村北丽前街一巷"" }"	"{ ""lat"" : 22.9790391492086, ""lng"" : 113.360515563448 }"
"5976efdd7f686f221f74e614"	"{ ""detail"" : ""沙湾市良路青峰路8号右侧小路上去50米左侧蓝色铁门"" }"	"{ ""lat"" : 22.8957648538393, ""lng"" : 113.333267192355 }"
"5976efdd7f686f221f74e622"	"{ ""detail"" : ""桥南街运河直街20号 103"" }"	"{ ""lat"" : 22.9234606902341, ""lng"" : 113.385379961074 }"
"5976efdd7f686f221f74e650"	"{ ""detail"" : ""新造镇兴业大道南龙泉山庄比比宠物俱乐部"" }"	"{ ""lat"" : 23.038655895411, ""lng"" : 113.442127806562 }"
"5976efdd7f686f221f74e654"	"{ ""detail"" : ""上漖路海滨花园海涛阁B座501"" }"	"{ ""lat"" : 23.0897692163937, ""lng"" : 113.28363644625 }"
"5976efdd7f686f221f74e65c"	"{ ""detail"" : ""市桥街东环路487号侨基花园1座"" }"	"{ ""lat"" : 22.9612203960228, ""lng"" : 113.365675967482 }"
"5976efdd7f686f221f74e660"	"{ ""detail"" : ""洛浦街道南浦镇西一村新涌北街横东5巷9号"" }"	"{ ""lat"" : 23.0529777189256, ""lng"" : 113.279302331471 }"
"5976efdd7f686f221f74e684"	"{ ""detail"" : ""桥南街南华路138号 中颐海伦堡11梯"" }"	"{ ""lat"" : 22.9322747541767, ""lng"" : 113.36954105809 }"
"5976efde7f686f221f74e6b4"	"{ ""detail"" : ""新造镇山屋大街炜达灯泡厂"" }"	"{ ""lat"" : 23.04546874192, ""lng"" : 113.431871776202 }"
"5976efde7f686f221f74e6ba"	"{ ""detail"" : ""石碁镇富豪街10号"" }"	"{ ""lat"" : 22.9614669737592, ""lng"" : 113.445068476123 }"
"5976efde7f686f221f74e6bc"	"{ ""detail"" : ""市桥华南大厦"" }"	"{ ""lat"" : 22.9525142077689, ""lng"" : 113.368902391618 }"
"5976efde7f686f221f74e6c0"	"{ ""detail"" : ""大石镇，何村小学附近"" }"	"{ ""lat"" : 23.0074313211394, ""lng"" : 113.320175523213 }"
"5976efde7f686f221f74e6c8"	"{ ""detail"" : ""锦绣半岛风行牛奶店"" }"	"{ ""lat"" : 23.048186839323, ""lng"" : 113.263756393761 }"
"5976efde7f686f221f74e6ca"	"{ ""detail"" : ""沙湾镇荷悦居1座3梯601"" }"	"{ ""lat"" : 22.912257593632, ""lng"" : 113.356511011808 }"
"5976efde7f686f221f74e744"	"{ ""detail"" : ""番禺区诺德中心城618号"" }"	"{ ""lng"" : ""113.358380000000"", ""lat"" : ""22.995830000000"" }"
"5976efde7f686f221f74e74c"	"{ ""detail"" : ""市桥坑口路123号乔丰苑内"" }"	"{ ""lat"" : 22.9484296810039, ""lng"" : 113.379666722761 }"
"5976efde7f686f221f74e75a"	"{ ""detail"" : ""化龙镇子荫路20号"" }"	"{ ""lat"" : 23.0464942042304, ""lng"" : 113.45933475877 }"
"5976efde7f686f221f74e75c"	"{ ""detail"" : ""石楼镇茭塘东村浦岗路2号"" }"	"{ ""lat"" : 22.9460988793651, ""lng"" : 113.519072167689 }"
"5976efde7f686f221f74e75e"	"{ ""detail"" : ""黄沙岗第二工业区二座5号"" }"	"{ ""lat"" : 22.9345907957979, ""lng"" : 113.416799529649 }"
"59842b827f686f4bf11aebf4"	"{ ""detail"" : ""测试测试测试"" }"	"{ ""lat"" : 23.1352563812739, ""lng"" : 113.341817679213 }"
"59898962c87a2614ac3701f6"	"{ ""detail"" : ""沙溪大道282号珠江花园富兴阁103-104"" }"	"{ ""lat"" : 23.037917347434, ""lng"" : 113.350949542211 }"
"598afc0c7f686f19e5089804"	"{ ""detail"" : ""广州市番禺区新造镇兴业大道龙泉山庄"" }"	"{ ""lat"" : 23.0358591468664, ""lng"" : 113.439822079099 }"
"598b3cc2c87a2614c37b57e1"	"{ ""detail"" : ""广州市番禺区东环街乐活街83号1432"" }"	"{ ""lng"" : 113.372528173639, ""lat"" : 22.9841188442609 }"
"598d55dd0ded096b3303458e"	"{ ""detail"" : ""7号创意小镇"" }"	"{ ""lng"" : 113.416799529649, ""lat"" : 22.9345907957979 }"
"598ffbe97f686f75fc196244"	"{ ""detail"" : ""番禺区桥南街岘涌村 ，坤记名犬"" }"	"{ ""lat"" : 22.7856190074627, ""lng"" : 113.390745869561 }"
"598ffdb57f686f5085211a0d"	"{ ""detail"" : ""番禺区，石基镇加油站旁"" }"	"{ ""lat"" : 22.8900286479884, ""lng"" : 113.461492488604 }"
"598ffed47f686f4b863be071"	"{ ""detail"" : ""番禺区，沙湾镇明园养殖场"" }"	"{ ""lat"" : 22.9131424852346, ""lng"" : 113.353911715409 }"
